created_at,text,screen_name,followers,friends,rt,fav
'Mon Jun 12 12:05:15 +0000 2017', '"RT @PieterDuToit: Thats rich from the ANC, what does it think Gordhan and Jonas, along with labour and business, have been doing aft… "', 'Sir_Luther_N', 247, 603, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'akash9903', 100, 114, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @Harryslaststand: There is now talk that Theresa May will delay both #brexit talks &amp; the Queens speech which indicates the Tories aren…"', 'kfmorel', 874, 965, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @AlanCummings20: @DurhamMiners @jeremycorbyn Teresa May is really plumbing the depths with a coalition with the DUP.Tory MPs should… "', 'eddygraham39', 2457, 2379, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'Sumitsh303', 147, 114, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'soham77881', 142, 114, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'subham7788', 143, 114, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'subrat7788', 145, 113, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'sridhar991', 149, 113, 0, 0
'Mon Jun 12 12:05:16 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'sjagannath4', 144, 114, 0, 0
'Mon Jun 12 12:05:15 +0000 2017', '"RT @BENEFITS_NEWS: JUDGEMENT DAY: Theresa May faces axe as Tories call emergency meeting TOMORROW https://t.co/pgScIY8IPI"', 'SonnyDaes', 1096, 4997, 0, 0
'Mon Jun 12 12:05:16 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'rajesh8107', 141, 116, 0, 0
'Mon Jun 12 12:05:16 +0000 2017', '"RT @thebetterindia: 10 Ways You Can Play a Role in Stopping Child Labour Today\n#WorldDayAgainstChildLabour \nhttps://t.co/NXIcJtaWI0 https:/…"', 'sukhdev991', 139, 113, 0, 0
'Mon Jun 12 12:05:16 +0000 2017', '"RT @AndyHearn09: Queens speech delayed. Not going well is it? Not Strong and Not Stable, a complete and utter Tory shambles."', 'jinnerspace', 381, 440, 0, 0
